"","CLASS","CLASS_AREA","AREA_SQ_KM","AREA_UNITS","NO_POINTS","WPLUS","S_WPLUS","WMINUS","S_WMINUS","CONTRAST","S_CONTRAST","STUDC","GEN_CLASS","WEIGHT","W_STD"
"42",27187,993.95,993.95,993.95,19,0.852554534601182,0.231640394950195,-0.0445966252326422,0.0649411032382096,0.897151159833825,0.240571443572337,3.72925043185377,27187,0.852554534601182,0.231640394950195
"43",27702,274.51,274.51,274.51,5,0.803334160088396,0.451342926676132,-0.0108532744611333,0.0631272822746917,0.814187434549529,0.455736207940476,1.78653225344752,27702,0.803334160088396,0.451342926676132
"44",27935,1878.62,1878.62,1878.62,2,-2.05357864174508,0.707483478910371,0.0545531202835563,0.0627735924757284,-2.10813176202864,0.710262906847478,-2.96810060289596,27935,-2.05357864174508,0.707483478910371
"45",27938,225.93,225.93,225.93,0,0,0,0,0,0,0,0,27938,0,0
"46",28185,33.37,33.37,33.37,0,0,0,0,0,0,0,0,28185,0,0
"47",28675,826.7,826.7,826.7,6,-0.127896422341274,0.409737890245378,0.00325374691930603,0.0632560733266757,-0.13115016926058,0.414591931319754,-0.316335556370079,28675,-0.127896422341274,0.409737890245378
"48",30680,188.7,188.7,188.7,0,0,0,0,0,0,0,0,30680,0,0
"49",30704,919.76,919.76,919.76,1,-2.03252319175522,1.00054406376099,0.0261495312685006,0.0626437152672191,-2.05867272302372,1.00250319629907,-2.05353232849901,30704,-2.03252319175522,1.00054406376099
"50",30723,19.94,19.94,19.94,0,0,0,0,0,0,0,0,30723,0,0
"51",30727,163.64,163.64,163.64,2,0.39827728341601,0.711467910364443,-0.00256330713239646,0.0627584350122785,0.400840590548406,0.714230501059383,0.561220208257501,30727,0.39827728341601,0.711467910364443
"52",31420,385.09,385.09,385.09,6,0.644487568384326,0.411466356681571,-0.0112476628183037,0.0632523091512422,0.65573523120263,0.416299672464164,1.57515192678677,31420,0.644487568384326,0.411466356681571
"53",31441,127.62,127.62,127.62,4,1.3595837599551,0.508024906808269,-0.0116364795399404,0.0630026923814646,1.37122023949504,0.51191663890214,2.67860064567499,31441,1.3595837599551,0.508024906808269
"54",39860,24.65,24.65,24.65,0,0,0,0,0,0,0,0,39860,0,0
"55",40535,392.3,392.3,392.3,3,-0.0752362228819629,0.579570570688404,0.00091970281890796,0.0628822719610477,-0.0761559257008708,0.582971891719546,-0.130633958142029,40535,-0.0752362228819629,0.579570570688404
"56",42515,772.59,772.59,772.59,22,1.26068463248767,0.216302636885146,-0.0646598683599579,0.0653474441102041,1.32534450084763,0.225958224402661,5.8654404120553,42515,1.26068463248767,0.216302636885146
"57",72683,6.43,6.43,6.43,0,0,0,0,0,0,0,0,72683,0,0
"58",74232,1596.57,1596.57,1596.57,0,0,0,0,0,0,0,0,74232,0,0
"59",76194,66.96,66.96,66.96,0,0,0,0,0,0,0,0,76194,0,0
"60",76890,47.67,47.67,47.67,4,2.40013473668876,0.522397373023966,-0.0142180377444182,0.0630020308373794,2.41435277443318,0.526182735589048,4.58843023751125,76890,2.40013473668876,0.522397373023966
"61",76898,25.64,25.64,25.64,0,0,0,0,0,0,0,0,76898,0,0
"62",76899,49.58,49.58,49.58,0,0,0,0,0,0,0,0,76899,0,0
"63",76900,54.37,54.37,54.37,0,0,0,0,0,0,0,0,76900,0,0
"64",76901,3.89,3.89,3.89,0,0,0,0,0,0,0,0,76901,0,0
"65",76902,16.16,16.16,16.16,0,0,0,0,0,0,0,0,76902,0,0
"66",76903,39.66,39.66,39.66,0,0,0,0,0,0,0,0,76903,0,0
"67",76905,6.21,6.21,6.21,0,0,0,0,0,0,0,0,76905,0,0
"68",76906,59.27,59.27,59.27,0,0,0,0,0,0,0,0,76906,0,0
"69",79427,70.53,70.53,70.53,0,0,0,0,0,0,0,0,79427,0,0
"70",79464,34.19,34.19,34.19,0,0,0,0,0,0,0,0,79464,0,0
"71",79890,493.11,493.11,493.11,5,0.209398865212205,0.449498296466807,-0.00372680841829726,0.0631291223970514,0.213125673630502,0.45390968773665,0.469533211977079,79890,0.209398865212205,0.449498296466807
"72",79894,178.07,178.07,178.07,0,0,0,0,0,0,0,0,79894,0,0
"73",79896,165.23,165.23,165.23,0,0,0,0,0,0,0,0,79896,0,0
"74",79899,579.03,579.03,579.03,3,-0.467045710938488,0.578851754792797,0.00702786502502338,0.062883860671196,-0.474073575963511,0.582257446461283,-0.814199249566891,79899,-0.467045710938488,0.578851754792797
"75",79907,1838.7,1838.7,1838.7,9,-0.524180977567964,0.334152134206688,0.0252217319627935,0.0636418348325693,-0.549402709530757,0.340158686403479,-1.61513649802576,79907,-0.524180977567964,0.334152134206688
"76",79912,199.48,199.48,199.48,1,-0.500186596317208,1.00251598042709,0.00252859866691864,0.0626375318742234,-0.502715194984127,1.00447088131562,-0.500477618948682,79912,-0.500186596317208,1.00251598042709
"77",79914,254.34,254.34,254.34,5,0.881122228583609,0.451675312533454,-0.0115082742320658,0.0631271138018487,0.892630502815675,0.456065368614133,1.95724245743138,79914,0.881122228583609,0.451675312533454
"78",79926,1230.63,1230.63,1230.63,1,-2.32396684703869,1.00040654374464,0.0365191695397073,0.0626464760689583,-2.36048601657839,1.00236611760921,-2.35491401306392,79926,-2.32396684703869,1.00040654374464
"79",79929,284.72,284.72,284.72,0,0,0,0,0,0,0,0,79929,0,0
"80",79931,947.19,947.19,947.19,0,0,0,0,0,0,0,0,79931,0,0
"81",79985,342.27,342.27,342.27,5,0.579055858983391,0.450516352138678,-0.00864969203401486,0.0631278498667868,0.587705551017406,0.454917694724161,1.29189424336145,79985,0.579055858983391,0.450516352138678
"82",81279,6.3,6.3,6.3,0,0,0,0,0,0,0,0,81279,0,0
"83",81280,4.83,4.83,4.83,0,0,0,0,0,0,0,0,81280,0,0
"84",81284,27.1,27.1,27.1,0,0,0,0,0,0,0,0,81284,0,0
"85",81639,46.65,46.65,46.65,0,0,0,0,0,0,0,0,81639,0,0
"86",81640,141.26,141.26,141.26,0,0,0,0,0,0,0,0,81640,0,0
"87",81641,1598.53,1598.53,1598.53,0,0,0,0,0,0,0,0,81641,0,0
